StandortID,Periode,Probenahmedatum,Jahr,Probenart,Parameter,Wert
829,2,2004-11-18,2004,OBER-0-20,CDT_PPM,2.79
829,2,2004-11-18,2004,UNTER40-60,CDT_PPM,0.92
829,2,2004-11-18,2004,OBER-0-20,CRT_PPM,50.2
829,2,2004-11-18,2004,UNTER40-60,CRT_PPM,36.8
829,2,2004-11-18,2004,OBER-0-20,CUT_PPM,350.7
829,2,2004-11-18,2004,UNTER40-60,CUT_PPM,52.4
829,2,2004-11-18,2004,OBER-0-20,Hg_AMA_PPM,1.3575
829,2,2004-11-18,2004,OBER-0-20,HGT_PPM,1.14255
829,2,2004-11-18,2004,UNTER40-60,HGT_PPM,0.4004
829,2,2004-11-18,2004,OBER-0-20,NIT_PPM,35.8
829,2,2004-11-18,2004,UNTER40-60,NIT_PPM,40.9
829,2,2004-11-18,2004,OBER-0-20,ORG_SUB,11.67273
829,2,2004-11-18,2004,OBER-0-20,PBT_PPM,228
829,2,2004-11-18,2004,UNTER40-60,PBT_PPM,79.6
829,2,2004-11-18,2004,OBER-0-20,ZNT_PPM,496.1
829,2,2004-11-18,2004,UNTER40-60,ZNT_PPM,155.5
829,3,2009-10-22,2009,OBER-0-20,CDT_PPM,2.57
829,3,2009-10-22,2009,UNTER40-60,CDT_PPM,0.434
829,3,2009-10-22,2009,OBER-0-20,CRT_PPM,45.1
829,3,2009-10-22,2009,UNTER40-60,CRT_PPM,34.5
829,3,2009-10-22,2009,OBER-0-20,CUT_PPM,216
829,3,2009-10-22,2009,UNTER40-60,CUT_PPM,131
829,3,2009-10-22,2009,OBER-0-20,Hg_AMA_PPM,1.4881
829,3,2009-10-22,2009,OBER-0-20,HGT_PPM,1.22
829,3,2009-10-22,2009,UNTER40-60,HGT_PPM,0.18
829,3,2009-10-22,2009,OBER-0-20,NIT_PPM,33.3
829,3,2009-10-22,2009,UNTER40-60,NIT_PPM,42.7
829,3,2009-10-22,2009,OBER-0-20,ORG_SUB,13.53435
829,3,2009-10-22,2009,UNTER40-60,ORG_SUB,2.376877
829,3,2009-10-22,2009,OBER-0-20,PBT_PPM,217.5
829,3,2009-10-22,2009,UNTER40-60,PBT_PPM,37.2
829,3,2009-10-22,2009,OBER-0-20,PHCA,6.77
829,3,2009-10-22,2009,UNTER40-60,PHCA,6.87
829,3,2009-10-22,2009,OBER-0-20,ZNT_PPM,483.8
829,3,2009-10-22,2009,UNTER40-60,ZNT_PPM,96.6
829,4,2014-12-26,2014,OBER-0-20,CDT_PPM,2.51
829,4,2014-12-26,2014,OBER-0-20,CUT_PPM,184
829,4,2014-12-26,2014,OBER-0-20,Hg_AMA_PPM,1.2743
829,4,2014-12-26,2014,UNTER40-60,Hg_AMA_PPM,0.3888
829,4,2014-12-26,2014,OBER-0-20,HGT_PPM,1.16
829,4,2014-12-26,2014,OBER-0-20,NIT_PPM,33.4
829,4,2014-12-26,2014,OBER-0-20,ORG_SUB,11.04552
829,4,2014-12-26,2014,UNTER40-60,ORG_SUB,2.54955
829,4,2014-12-26,2014,OBER-0-20,PBT_PPM,209
829,4,2014-12-26,2014,OBER-0-20,PHCA,6.79
829,4,2014-12-26,2014,UNTER40-60,PHCA,6.81
829,4,2014-12-26,2014,OBER-0-20,ZNT_PPM,475
829,5,2019-11-13,2019,OBER-0-20,CDT_PPM,2.28
829,5,2019-11-13,2019,UNTER40-60,CDT_PPM,0.704
829,5,2019-11-13,2019,OBER-0-20,CUT_PPM,169
829,5,2019-11-13,2019,UNTER40-60,CUT_PPM,55.9
829,5,2019-11-13,2019,OBER-0-20,Hg_AMA_PPM,1.1504
829,5,2019-11-13,2019,UNTER40-60,Hg_AMA_PPM,0.562
829,5,2019-11-13,2019,OBER-0-20,HGT_PPM,1.16
829,5,2019-11-13,2019,OBER-0-20,NIT_PPM,29.8
829,5,2019-11-13,2019,UNTER40-60,NIT_PPM,35.9
829,5,2019-11-13,2019,OBER-0-20,ORG_SUB,11.825392
829,5,2019-11-13,2019,UNTER40-60,ORG_SUB,2.821065
829,5,2019-11-13,2019,OBER-0-20,PBT_PPM,196
829,5,2019-11-13,2019,UNTER40-60,PBT_PPM,67
829,5,2019-11-13,2019,OBER-0-20,PHCA,6.79
829,5,2019-11-13,2019,UNTER40-60,PHCA,6.86
829,5,2019-11-13,2019,OBER-0-20,ZNT_PPM,442
829,5,2019-11-13,2019,UNTER40-60,ZNT_PPM,145
829,6,2024-11-12,2024,OBER-0-20,CDT_PPM,2.415
829,6,2024-11-12,2024,UNTER40-60,CDT_PPM,0.6951
829,6,2024-11-12,2024,OBER-0-20,CRT_PPM,42.2811
829,6,2024-11-12,2024,UNTER40-60,CRT_PPM,32.9826
829,6,2024-11-12,2024,OBER-0-20,CUT_PPM,184.8524
829,6,2024-11-12,2024,UNTER40-60,CUT_PPM,52.5118
829,6,2024-11-12,2024,OBER-0-20,Hg_AMA_PPM,1.12128
