StandortID,Periode,Probenart,Probenahmedatum,CDT_PPM,CRT_PPM,CUT_PPM,Hg_AMA_PPM,HGT_PPM,NIT_PPM,PBT_PPM,ZNT_PPM,PHCA,ORG_SUB
836,4,OBER-0-20,2014-12-26,1.975,NA,136.5,1.5682,1.39,26.4,249,459,6.73,17.035755
836,4,UNTER40-60,2014-12-26,NA,NA,NA,1.6618,NA,NA,NA,NA,6.71,5.31921
836,5,OBER-0-20,2019-11-13,1.88,NA,121,1.49615,1.5,26.5,151,423,6.78,14.389605
836,5,UNTER40-60,2019-11-13,1.33,NA,74,1.55245,NA,27.9,106,269,6.78,5.62005
836,6,OBER-0-20,2024-11-14,2.1349,84.2597,144.1164,1.519168,1.7173,30.5074,183.1366,501.4187,6.81,11.321175
836,6,UNTER40-60,2024-11-14,1.7722,56.938,96.8436,1.768691,1.707,31.7346,145.9491,354.9711,6.78,5.70285
837,1,OBER-0-20,1999-12-15,1.78096,32.7,188.4,0.8195,0.635,30.1,961,674.929,6.83,7.603195
837,1,UNTER40-60,1999-12-15,0.51538,23.33115,47.4962,NA,0.31454,29.02439,68.36872,134.21917,7.28,2.68
837,2,OBER-0-20,2004-11-17,1.614,32.1,255.3,0.7517,0.50896,31.8,441,585.8,NA,8.872537
837,2,UNTER40-60,2004-11-17,0.867,25.7,72.7,NA,0.44064,28.1,143,270.2,NA,NA
837,3,OBER-0-20,2009-11-03,1.54,31.93,184.54,0.8765,0.59,27.77,294.23,563.03,6.8,9.062287
837,3,UNTER40-60,2009-11-03,0.45,21.58,44.54,NA,0.29,25.17,57.62,126.03,7.19,2.819857
837,4,OBER-0-20,2014-12-26,1.4795945,31.165892,180.964552,0.63065,0.559211,29.018987,317.543188,533.1608055,6.68,9.9948225
837,5,OBER-0-20,2019-11-13,1.33,NA,148,0.62345,0.56,26.4,454,510,6.69,9.748492
837,5,UNTER40-60,2019-11-13,0.582,NA,65.2,0.4682,NA,25.1,79.2,175,7.02,3.603007
837,6,OBER-0-20,2024-11-14,1.3485,30.6278,167.1173,0.576318,0.5594,27.8347,286.1167,576.7571,6.68,10.089525
837,6,UNTER40-60,2024-11-14,0.7483,25.4409,65.5969,0.536895,0.4572,29.4264,108.7625,242.3548,6.91,3.948525
838,1,OBER-0-20,1999-09-15,1.18,42.3,65.70096,1.1782,0.9252,30.8,106,248.9,6.82,5.6834635
838,1,UNTER40-60,1999-09-15,0.29006,22.12504,25.49382,NA,0.23523,26.96874,31.48338,76.20516,7.47,1.79
838,2,OBER-0-20,2004-11-17,1.115,40.7,60.6,1.0455,0.7576,28.6,93.6,240.3,NA,7.523242
838,2,UNTER40-60,2004-11-17,0.676,29.1,36.7,NA,0.48222,27.7,56.5,131.2,NA,NA
838,3,OBER-0-20,2009-11-03,1.09,38.9,62.5,1.1131,0.99,29.6,98.2,245,7.01,7.360747
838,3,UNTER40-60,2009-11-03,0.453,23.4,30.2,NA,0.09,26.6,38.2,98.8,7.27,2.463817
838,4,OBER-0-20,2014-12-26,1.051198,40.30372,65.583156,0.964375,0.90538,29.918759,100.935188,248.0748935,6.855,6.6978295
838,5,OBER-0-20,2019-11-13,0.938,NA,59.1,0.973,0.88,25.7,93.4,235,6.96,7.27398
838,5,UNTER40-60,2019-11-13,0.401,NA,25.6,0.4009,NA,23.5,43.7,84.6,7.31,2.25216
838,6,OBER-0-20,2024-11-14,1.0651,38.6305,63.1059,1.008898,0.9477,30.2506,98.8184,255.6996,6.91,6.166875
838,6,UNTER40-60,2024-11-14,0.5593,24.5501,36.0693,0.520116,0.4803,27.5183,52.395,113.07,7.29,2.692725
903,1,OBER-0-20,1999-12-15,1.588,44.83715,103.29849,1.22874,0.985,33.93334,179.35589,410.98867,6.795,8.0376025
903,1,UNTER40-60,1999-12-15,0.41347,23.46994,33.66121,NA,0.2589,28.83851,71.20525,106.8274,7.25,2.57
903,2,OBER-0-20,2004-11-17,1.504,43.2,92.7,1.23535,0.9466,31.6,163,380.8,6.65,8.2009945
903,2,UNTER40-60,2004-11-17,0.913,31.9,56.3,NA,0.6854,30.5,87.5,213.4,NA,NA
903,3,OBER-0-20,2009-10-22,1.5,42.5,93.2,1.2087,1.01,30.7,171.7,382.9,6.96,7.693672
903,3,UNTER40-60,2009-10-22,0.81,29.2,53.1,NA,0.64,29.7,87.8,201.6,7.09,3.918855
903,4,OBER-0-20,2014-12-03,1.5050985,41.299266,96.215526,1.253375,1.12732,31.280814,859.3923875,374.712786,6.87,7.3287485
903,5,OBER-0-20,2019-11-13,1.45,NA,86.1,1.04425,0.93,30,181,339,7.01,6.38112
903,5,UNTER40-60,2019-11-13,0.558,NA,39.8,0.5166,NA,27,58.7,135,7.14,2.749305
903,6,OBER-0-20,2024-11-27,1.4134,39.3737,101.0333,1.167558,0.9414,31.1995,171.3316,355.4428,6.95,5.7684
903,6,UNTER40-60,2024-11-27,0.6985,25.6898,44.7523,0.645408,0.5105,28.6922,75.384,156.3479,7.08,3.01875
904,1,OBER-0-20,1999-12-15,2.599,62.8,166.62484,1.4482,1.2982,36.95748,377.16801,780.31701,6.55,12.2276725
904,1,UNTER40-60,1999-12-15,0.76488,41.24929,63.97889,NA,0.53065,42.75254,163.65785,216.49176,6.79,4.41
904,2,OBER-0-20,2004-11-17,2.476,58.8,226.7,1.4583,1.135,37.3,305,670.8,NA,15.47808
904,2,UNTER40-60,2004-11-17,1.529,50.6,102,NA,0.87804,42.4,225,422.3,NA,NA
904,3,OBER-0-20,2009-10-22,2.16,51.6,225,1.3445,1.15,31.2,331.3,644.9,6.67,17.279325
904,3,UNTER40-60,2009-10-22,1.2,43.1,91.8,NA,0.96,38.5,183.9,345.1,6.73,5.533627
904,4,OBER-0-20,2014-11-20,2.21,NA,229,1.2877,1.1,32.45,386,660,6.67,15.77685
904,5,OBER-0-20,2019-11-20,2.16,NA,208,1.4017,1.25,31.1,276,628,6.75,13.835707
904,5,UNTER40-60,2019-11-20,0.8,NA,65.7,0.8077,NA,36.6,125,220,6.67,3.67977
904,6,OBER-0-20,2024-11-27,1.6009,42.5922,158.3132,0.935166,0.8754,28.5329,210.8336,487.583,6.72,13.215225
904,6,UNTER40-60,2024-11-27,1.4931,44.6435,135.5148,1.522254,1.1519,38.4525,226.3431,416.07,6.68,5.1543
905,1,OBER-0-20,1999-12-15,2.47093,60.5,144.50857,1.5108,1.2192,36.61662,265.69911,505.55186,6.58,11.04601
905,1,UNTER40-60,1999-12-15,0.70865,36.61541,74.09573,NA,0.4386,39.42596,70.02559,179.29324,6.75,2.96
905,2,OBER-0-20,2004-11-17,2.3,55.8,135.6,1.4129,1.2445,33.2,197,495.4,NA,13.17417
905,2,UNTER40-60,2004-11-17,1.452,42.4,78.1,NA,0.841,38.7,122,300.6,NA,NA
905,3,OBER-0-20,2009-10-22,2.28,56.8,140,1.4732,1.34,33.9,204,500.5,6.59,11.842297
905,3,UNTER40-60,2009-10-22,0.897,38,60.4,NA,0.57,38.5,83.6,211.7,6.79,3.792067
905,4,OBER-0-20,2014-12-03,2.33,NA,178,1.4427,1.34,34.4,219,511,6.74,9.72417
905,5,OBER-0-20,2019-11-20,2.04,NA,124,1.3783,1.48,30.4,197,459,6.78,8.336925
905,5,UNTER40-60,2019-11-20,0.461,NA,36,0.3214,NA,36.6,51.2,113,6.76,2.511082
905,6,OBER-0-20,2024-11-27,2.1768,56.2033,143.7379,1.35616,1.367,34.7992,211.5799,484.7917,6.76,8.7837
905,6,UNTER40-60,2024-11-27,0.5898,30.6953,44.8276,0.405091,0.3942,37.9182,66.6735,136.8029,6.79,2.661675
906,1,OBER-0-20,1999-12-21,2.514,46.2,133.31766,2.0015,1.6825,39.29567,221.77849,595.9,6.79,8.57
906,1,UNTER40-60,1999-12-21,1.03763,36.12645,73.449,1.397,0.8354,38.47477,113.75719,236.86153,6.83,5.885862
906,2,OBER-0-20,2004-12-09,2.603,44.1,130.7,1.9284,1.658,37,212,614,NA,9.50613
906,2,UNTER40-60,2004-12-09,1.566,37,85.2,NA,0.969,37,128,334.6,NA,NA
906,3,OBER-0-20,2009-10-21,2.52,43.3,130,2.0813,1.68,36.3,215.4,606,6.75,10.80678
906,3,UNTER40-60,2009-10-21,1.5,37.2,90.4,NA,1.1,37.3,132.7,341.1,7.02,4.063927
906,4,OBER-0-20,2014-11-27,2.61,NA,141,1.8597,1.62,37.9,237,656,6.66,9.08799
906,4,UNTER40-60,2014-11-27,NA,NA,NA,0.6768,NA,NA,NA,NA,7.07,2.870917
906,5,OBER-0-20,2019-11-20,2.35,NA,128,1.70965,1.74,33.4,206,571,6.72,8.64225
906,5,UNTER40-60,2019-11-20,0.81,NA,70.7,0.67695,NA,32.3,123,184,7.1,2.624242
906,6,OBER-0-20,2024-12-11,2.6377,47.0107,142.7638,1.770992,1.6354,37.5619,240.1375,644.7466,6.68,7.788375
906,6,UNTER40-60,2024-12-11,1.3827,35.0671,105.4285,1.081738,0.971,38.099,132.7917,285.4707,7.18,3.110175
907,1,OBER-0-20,1999-12-21,0.93844,35.44822,89.2,0.864945,0.63045,31.83157,140.70593,325.4,6.63,13.54
907,1,UNTER40-60,1999-12-21,0.24474,40.09359,40.86982,NA,0.26533,47.50482,52.55209,112.51559,6.99,2.98
907,2,OBER-0-20,2004-11-25,0.844,35.2,95.4,0.9234,0.63054,31,126,300.3,NA,15.165337
907,2,UNTER40-60,2004-11-25,0.438,37.2,51.5,NA,0.358,41.4,74.2,162.7,NA,NA
907,3,OBER-0-20,2009-10-21,0.844,34.5,97.9,0.8509,0.77,29.9,124.8,310.2,6.66,17.6295
907,3,UNTER40-60,2009-10-21,0.391,35.9,49.2,NA,0.32,41.7,64,154,6.92,4.750477
907,4,OBER-0-20,2014-12-03,0.872,NA,99.9,0.8157,0.59,29.8,132,334,6.67,16.345065
907,4,UNTER40-60,2014-12-03,NA,NA,NA,0.4278,NA,NA,NA,NA,6.85,4.007865
907,5,OBER-0-20,2019-11-26,0.8345,NA,108,0.6753,0.54,28.2,137.5,316,6.655,16.118572
907,5,UNTER40-60,2019-11-26,0.394,NA,49,0.4981,NA,37.8,70.2,140,6.82,4.243672
907,6,OBER-0-20,2024-12-03,0.9049,35.5466,128.056,0.660282,0.5504,29.3727,133.1729,301.9953,6.76,14.136375
907,6,UNTER40-60,2024-12-03,0.3922,35.4177,53.9907,0.410393,0.3314,41.9097,66.1315,148.3179,6.88,4.03995
