"StandortID";"periode";"Probenart";"HorizontNr";"para";"y";"y.orig";"mad.y";"mad.y.orig";"N.used";"p.dat";"m.LaborID";"m.a.jahr";"m.ProbenIDs"
828;4;"OBER-0-20";0;"PBT_PPM";565.4532785;567.724703;635.3633692959;631.9957553322;2;2014-12-26;"1028-332";"2014-2021";"33872-33874"
828;4;"OBER-0-20";0;"PHCA";6.745546;6.73;0.1416564996;0.118607999999999;2;2014-12-26;"2538";"2015-2020";"33872-33874"
828;4;"OBER-0-20";0;"ZNT_PPM";329.8060645;322.6737805;7.74130175489997;4.93145303070001;2;2014-12-26;"1028-332";"2014-2021";"33872-33874"
828;5;"OBER-0-20";0;"CDT_PPM";0.648;0.648;0;0;1;2019-11-13;"1028";"2020";"49694"
828;5;"UNTER40-60";0;"CDT_PPM";0.334;0.334;0;0;1;2019-11-13;"1028";"2020";"49696"
828;5;"OBER-0-20";0;"CUT_PPM";107;107;0;0;1;2019-11-13;"1028";"2020";"49694"
828;5;"UNTER40-60";0;"CUT_PPM";30.1;30.1;0;0;1;2019-11-13;"1028";"2020";"49696"
828;5;"OBER-0-20";0;"Hg_AMA_PPM";0.3034;0.3034;0;0;1;2019-11-13;"2538";"2020";"49694"
828;5;"UNTER40-60";0;"Hg_AMA_PPM";0.1499;0.1499;0;0;1;2019-11-13;"2538";"2020";"49696"
828;5;"OBER-0-20";0;"HGT_PPM";0.23;0.23;0;0;1;2019-11-13;"1028";"2020";"49694"
828;5;"OBER-0-20";0;"NIT_PPM";29.3;29.3;0;0;1;2019-11-13;"1028";"2020";"49694"
828;5;"UNTER40-60";0;"NIT_PPM";36.5;36.5;0;0;1;2019-11-13;"1028";"2020";"49696"
828;5;"OBER-0-20";0;"ORG_SUB";10.023457;10.023457;0;0;1;2019-11-13;"2538";"2020";"49694"
828;5;"UNTER40-60";0;"ORG_SUB";2.641147;2.641147;0;0;1;2019-11-13;"2538";"2020";"49696"
828;5;"OBER-0-20";0;"PBT_PPM";128;128;0;0;1;2019-11-13;"1028";"2020";"49694"
828;5;"UNTER40-60";0;"PBT_PPM";45.5;45.5;0;0;1;2019-11-13;"1028";"2020";"49696"
828;5;"OBER-0-20";0;"PHCA";6.75;6.75;0;0;1;2019-11-13;"2538";"2019";"49694"
828;5;"UNTER40-60";0;"PHCA";6.69;6.69;0;0;1;2019-11-13;"2538";"2019";"49696"
828;5;"OBER-0-20";0;"ZNT_PPM";294;294;0;0;1;2019-11-13;"1028";"2020";"49694"
828;5;"UNTER40-60";0;"ZNT_PPM";104;104;0;0;1;2019-11-13;"1028";"2020";"49696"
